timestamps,TP9,AF7,AF8,TP10,Right AUX
1717570577.893,860.256,1023.443,909.011,838.901,767.180
1717570577.933,870.330,667.656,780.879,846.154,803.846
1717570577.973,853.810,1191.868,994.835,888.462,720.037
1717570578.013,708.755,589.487,655.568,725.678,730.916
1717570578.053,774.835,691.831,735.751,768.388,500.842
1717570578.093,830.842,1041.575,997.656,872.747,759.927
1717570578.133,838.095,1172.930,983.553,860.256,762.344
1717570578.173,818.352,677.326,738.169,828.425,806.264
1717570578.213,853.004,795.788,836.081,855.824,771.612
1717570578.253,720.842,792.564,681.355,693.040,658.791
1717570578.293,819.560,736.960,668.059,798.608,699.084
1717570578.333,889.267,930.769,827.216,909.817,828.828
1717570578.373,874.359,1087.106,927.949,912.637,734.542
1717570578.413,756.703,898.132,808.681,743.004,562.491
1717570578.453,718.022,299.377,558.059,674.505,772.820
1717570578.493,716.410,638.242,693.040,679.341,618.095
1717570578.533,710.366,488.755,659.194,686.190,645.495
1717570578.573,821.172,525.824,711.978,832.454,1022.234
1717570578.613,749.048,949.707,875.568,744.212,697.875
1717570578.653,915.055,1068.974,908.608,926.740,867.106
1717570578.693,763.553,795.788,752.271,713.993,591.099
1717570578.733,884.835,886.044,962.198,877.180,977.912
1717570578.773,656.374,452.088,587.473,653.150,551.612
1717570578.813,895.714,1523.883,1135.458,931.978,827.619
1717570578.853,815.531,471.026,667.253,761.941,830.037
1717570578.893,858.242,986.374,813.114,841.319,756.703
1717570578.933,730.513,1005.311,931.978,800.623,843.736
1717570578.973,761.136,264.725,676.520,728.498,745.421
1717570579.013,653.956,1058.095,939.634,686.593,800.220
1717570579.053,863.480,1006.117,906.190,855.824,770.000
1717570579.093,815.128,640.256,684.982,751.868,710.366
1717570579.133,682.967,375.934,613.663,611.245,782.088
1717570579.173,788.535,1236.190,962.601,840.916,740.989
1717570579.213,927.546,868.718,819.963,922.308,724.469
1717570579.253,871.941,207.509,585.055,790.952,873.553
1717570579.293,768.388,1058.498,970.659,850.183,748.242
1717570579.333,751.062,372.711,714.396,722.454,986.374
1717570579.373,780.879,1010.147,927.949,792.967,684.176
1717570579.413,810.696,528.645,658.388,729.707,676.117
1717570579.453,834.066,697.070,637.033,821.172,745.421
1717570579.493,746.630,855.421,869.524,729.304,593.516
1717570579.533,779.670,687.802,713.187,712.381,653.150
1717570579.573,786.520,1382.454,990.000,874.762,750.256
1717570579.613,878.791,1352.637,952.125,930.769,921.099
1717570579.653,797.802,1254.725,930.366,869.121,736.154
1717570579.693,797.399,857.839,931.172,846.154,936.007
1717570579.733,855.018,930.769,740.183,875.568,792.564
1717570579.773,822.381,827.619,771.209,855.018,811.099
1717570579.813,584.652,533.077,269.560,818.352,647.912
1717570579.853,829.634,968.242,339.670,851.392,630.989
1717570579.893,792.161,1198.315,790.147,828.425,733.736
1717570579.933,813.919,1330.073,772.418,925.128,711.172
1717570579.973,796.593,630.586,822.784,764.762,700.696
1717570580.013,765.165,1012.967,809.487,869.927,765.971
1717570580.053,739.377,668.059,803.443,807.070,968.645
1717570580.093,778.462,1314.359,814.322,798.205,754.689
1717570580.133,822.381,721.245,785.714,904.982,1013.370
1717570580.173,809.084,1114.505,800.220,790.549,745.018
1717570580.213,769.194,1314.762,813.516,855.824,742.601
1717570580.253,788.535,247.802,817.546,738.571,937.216
1717570580.293,817.546,182.125,806.667,770.000,964.212
1717570580.333,806.667,824.799,790.147,754.689,711.172
1717570580.373,807.875,994.029,766.374,888.462,831.648
1717570580.413,836.484,1047.216,812.308,809.890,755.495
1717570580.453,828.425,1127.802,780.476,879.597,865.092
1717570580.493,884.432,803.443,854.212,794.579,722.051
1717570580.533,770.806,1215.641,796.190,738.571,661.612
1717570580.573,742.601,777.656,732.125,786.117,678.535
1717570580.613,755.897,716.410,821.172,732.125,713.993
1717570580.653,794.982,558.059,825.604,794.176,747.033
1717570580.693,871.941,1445.714,793.773,850.989,769.597
